Cáparra	Point(-6.10097222 40.16658333)
Triana	Point(-4.166388888 36.818333333)
Balsapintada	Point(-1.105086044 37.755407897)
Artosilla	Point(-0.26216 42.4253)
Ontaneda	Point(-3.924722222 43.2)
Congarna	Point(-4.659444444 43.156111111)
Villanueva de los Pavones	Point(-5.451944444 41.091944444)
Narros de Cuéllar	Point(-4.4075 41.299444444)
Santonge	Point(-2.181214 37.82931)
Santo Domingo de Herguijuela	Point(-5.896666666 40.598611111)
Barría	Point(-2.43638889 42.91527778)
Aizoáin	Point(-1.682777777 42.851111111)
Ledantes	Point(-4.691666666 43.07)
Mesas de Asta	Point(-6.17417 36.7897)
Tabladillo	Point(-4.364444444 41.0375)
Puerto de Tazacorte	Point(-17.945308333 28.651494444)
Las Bárcenas	Point(-4.426111111 43.278888888)
Caviedes	Point(-4.325277777 43.339722222)
Anta de Rioconejos	Point(-6.47429 42.0751)
La Copa de Bullas	Point(-1.6638 38.0796)
Romilla la Nueva	Point(-3.80416667 37.16416667)
San Andrés de Lucia	Point(-2.849166666 42.333055555)
Balisa	Point(-4.415833333 41.023055555)
Arroyuelos	Point(-3.857777777 42.839722222)
Matavenero	Point(-6.371388888 42.537222222)
Santibáñez de Valdeiglesias	Point(-5.929722222 42.457222222)
Pereje	Point(-6.844183333 42.626097222)
El Acebo	Point(-6.457777777 42.499166666)
El Palmar de Vejer	Point(-6.066666666 36.233333333)
El Pilar de la Mola	Point(1.555555555 38.668888888)
Moraira	Point(0.1345 38.688)
La Herradura	Point(-3.737222222 36.735)
San Nicolás del Real Camino	Point(-4.9525 42.363888888)
Coy	Point(-1.812652777 37.948555555)
Palazuelos	Point(-2.690833333 41.091111111)
Villamoros de Mansilla	Point(-5.444444444 42.534722222)
Villamoros de Mansilla	Point(-5.43333 42.5167)
Villamoros de Mansilla	Point(-5.433 42.533)
Nazaret	Point(-13.556167 29.042278)
Chiva de Morella	Point(-0.125493 40.658966)
El Rellano	Point(-3.733333333 43.316666666)
Santa María Ribarredonda	Point(-3.178055555 42.643333333)
San Telmo	Point(2.35 39.581944444)
Porto Colom	Point(3.25777778 39.41722222)
Alomartes	Point(-3.912222222 37.261666666)
Gil Márquez	Point(-6.85 37.85)
Bellojín	Point(-3.02777778 42.82888889)
Ipas	Point(-0.509166666 42.588055555)
Agés	Point(-3.47944444 42.36972222)
La Portela de Valcarce	Point(-6.92061424 42.66003226)
Isla de León	Point(-6.212836 36.45401)
Cala Figuera	Point(3.17111111 39.32888889)
Ambasmestas	Point(-6.92824244 42.66589414)
Los Caños de Meca	Point(-6.011388888 36.185833333)
Torre del Mar	Point(-4.1 36.75)
Los Pujols	Point(1.458333 38.722222)
Puerto de Sóller	Point(2.693611111 39.798611111)
Benínar	Point(-3.023611111 36.880555555)
Badaguás	Point(-0.465555555 42.586388888)
Ola	Point(-0.301047 42.107149833)
Las Tiesas Bajas	Point(-0.661388888 42.61)
Castejón de Sobrarbe	Point(0.137505833 42.319634)
Arambizcarra	Point(-2.661389 42.854722)
San Esteban de Guarga	Point(-0.27805556 42.37888889)
Liesa	Point(-0.219491 42.1368)
Atós Bajo	Point(-0.3825 42.40583333)
Araira	Point(-2.31583333 42.88972222)
Riego del Camino	Point(-5.76767 41.7612)
La Cala de Mijas	Point(-4.68027778 36.50472222)
Buyezo	Point(-4.509722222 43.120277777)
Arcillo	Point(-5.94431111 41.41958611)
Bolívar	Point(-2.614167 42.810278)
Isla Canela	Point(-7.377777777 37.173055555)
Piedrafita de Jaca	Point(-0.32527778 42.69583333)
Crispijana	Point(-2.730556 42.853056)
Artaza de Foronda	Point(-2.7425 42.902222)
Mandojana	Point(-2.748889 42.888611)
Santa Cruz de los Cuérragos	Point(-6.527994 41.939733)
Piñuel	Point(-6.01905 41.3497)
Camporrotuno	Point(0.160763833 42.345297)
Arcahueja	Point(-5.495833333 42.566944444)
Cizur Menor	Point(-1.677222222 42.786388888)
San Fernando de las Rocas	Point(1.458333333 38.706944444)
Arguisal	Point(-0.329913 42.586487)
Cala Rajada	Point(3.461944444 39.711388888)
Daimalos	Point(-4.030555555 36.820833333)
Arrés	Point(-0.82689 42.55574)
Isín	Point(-0.40444444 42.59916667)
Biduedo	Point(-7.17838526 42.74423877)
Romilla	Point(-3.794444444 37.201666666)
Benicalaf	Point(-0.247777777 39.738055555)
Sandoval de la Reina	Point(-4.105277777 42.558888888)
Bendinat	Point(2.580388888 39.539055555)
Cala d'Or	Point(3.231111111 39.374166666)
Calasanz	Point(0.374166666 42.020833333)
Bores	Point(-4.667138888 43.09395)
La Manga del Mar Menor	Point(-0.722461333 37.731169)
Brizuela	Point(-3.66583 42.9681)
El Campillar	Point(-2.52138889 42.51777778)
Fanlillo	Point(-0.230609 42.4771)
Monte	Point(-3.827777777 43.470277777)
El Campo	Point(-4.508888888 42.9775)
Cejancas	Point(-3.906111111 42.879444444)
Loscertales	Point(-0.433889 42.3147)
Arto	Point(-0.41396 42.45019)
Tardobispo	Point(-5.79683 41.4352)
Pociello	Point(0.4421413 42.2014999)
Rodalquilar	Point(-2.042777777 36.846111111)
Ambrosero	Point(-3.548055555 43.417777777)
Onteniente	Point(-0.607222222 38.822222222)
Portals Nous	Point(2.570272 39.533973)
Betesa	Point(0.692222222 42.352777777)
El Rompido	Point(-7.12583333 37.21888889)
San Pedro Alcántara	Point(-4.980277777 36.476388888)
Matalascañas o Torre de la Higuera	Point(-6.543333333 36.993333333)
Fornells	Point(4.131666666 40.056111111)
Brácana	Point(-3.944722222 37.226666666)
Caleta de Sebo	Point(-13.501944444 29.231388888)
Barrio de Arriba	Point(-3.680277777 43.341111111)
Barrio de Bricia	Point(-3.847736 42.907622)
Barrio de San Felices	Point(-4.202777777 42.556805555)
Barrio de las Ollas	Point(-5.336919444 42.865255555)
Barriopalacio	Point(-4.014280555 43.196097222)
Barriopalacio	Point(-4.181944444 42.9)
Barrios de la Vega	Point(-4.785555555 42.548055555)
Barriosuso	Point(-4.6275 42.642777777)
Barruelo	Point(-4.066388888 42.908333333)
Baró	Point(-4.675277777 43.153055555)
Batuequilla	Point(-6.2 40.4)
Bayacas	Point(-3.415833333 36.919166666)
Bayas	Point(-2.921644444 42.686466666)
Baños de la Peña	Point(-4.650277777 42.723055555)
Bañuelos del Rudrón	Point(-3.855555555 42.690277777)
Baúl	Point(-2.929444444 37.428333333)
Beares	Point(-4.668333333 43.156388888)
Bedicó	Point(-4.091111111 43.321666666)
Bedmar	Point(-3.409722222 37.825)
Bejes	Point(-4.645833333 43.241666666)
Belerda	Point(-3.213888888 37.370833333)
Beleña de Sorbe	Point(-3.188055555 40.926111111)
Benacebada	Point(-2.680833333 37.266666666)
Benamariel	Point(-5.566077777 42.362269444)
Benamira	Point(-2.4231 41.0932)
Benecid	Point(-2.858611111 36.988888888)
Beranga	Point(-3.575 43.415833333)
Bercedo	Point(-4.191388888 42.867222222)
Bercimuelle	Point(-5.498333333 40.521666666)
Bergasillas Somera	Point(-2.161944444 42.237777777)
Bermillo de Alba	Point(-6.09345833 41.62140833)
Bernales	Point(-3.406944444 43.336111111)
Bernuy de Coca	Point(-4.605555555 41.176944444)
Berrimes	Point(-8.86858611 42.76995833)
Besoy	Point(-4.719444444 43.130277777)
Bezana	Point(-3.837326 42.95859)
Bielva	Point(-4.464444444 43.314722222)
Binibeca Viejo	Point(4.234444444 39.821666666)
Boada de Roa	Point(-3.974722222 41.73)
Boadilla	Point(-6.220277777 40.796388888)
Bodia	Point(-4.674444444 43.143333333)
Boedo de Castrejón	Point(-4.571111111 42.7925)
Bogarre	Point(-3.373888888 37.409722222)
Bohonal	Point(-4.777222222 39.324722222)
Boisán	Point(-6.289166666 42.371111111)
Bollacín	Point(-3.889722222 43.084444444)
Bolmir	Point(-4.122222222 42.991388888)
Bolnuevo	Point(-1.306944444 37.562777777)
Bonilla	Point(-2.55 40.2)
Boo de Guarnizo	Point(-3.839722222 43.410833333)
Borcos	Point(-3.91666667 42.51666667)
Borleña	Point(-3.950555555 43.236111111)
Bouzas	Point(-6.503277777 42.441777777)
Boya	Point(-6.356111111 41.922780555)
Brandilanes	Point(-6.21079722 41.62082778)
Bricia	Point(-3.818333333 42.914722222)
Briongos de Cervera	Point(-3.502222222 41.915)
Brovales	Point(-6.684166666 38.349444444)
Bucarrero	Point(-3.758888888 43.354166666)
Bucesta	Point(-2.358055555 42.280555555)
Bueras	Point(-3.4775 43.340277777)
Bulco	Point(-3.446111111 43.310277777)
Burgomillodo	Point(-3.885833333 41.338888888)
Busdongo de Arbas	Point(-5.717833333 42.983555555)
Bustaleguín	Point(-3.790833333 43.108611111)
Bustamante	Point(-4.0725 43.0675)
Bustancillés	Point(-3.551666666 43.179444444)
Bustantegua	Point(-3.762777777 43.214444444)
Bustasur	Point(-3.901944444 43.124444444)
Bustidoño	Point(-3.988055555 42.922222222)
Bustillo de Santullán	Point(-4.348055555 42.870833333)
Bustiyerro-El Rosario	Point(-3.830833333 43.1125)
Bácor	Point(-2.953888888 37.531666666)
Bádames	Point(-3.495 43.355)
Bárago	Point(-4.621388888 43.072222222)
Bárcena	Point(-4.711666666 43.135)
Bárcena	Point(-3.899444444 43.186666666)
Bárcena de Cudón	Point(-3.995277777 43.411388888)
Bárcenas	Point(-3.568414 43.0965385)
Báscones de Ebro	Point(-4.010555555 42.7975)
Béznar	Point(-3.541944444 36.927222222)
Bótoa	Point(-6.904280555 38.998483333)
Bóveda de la Ribera	Point(-3.401745 42.932667)
Cabanzón	Point(-4.496388888 43.321944444)
Cabaña La Sierra	Point(-3.295555555 43.31)
Cabañas de Juarros	Point(-3.443333333 42.231111111)
Cabañes	Point(-4.615555555 43.2125)
Cabezuela de Salvatierra	Point(-5.669444444 40.591666666)
Cabretón	Point(-1.907222222 41.997222222)
Cabrojo	Point(-4.19 43.329166666)
Cabárceno	Point(-3.823333333 43.358888888)
Cacicedo	Point(-3.884444444 43.433333333)
Cades	Point(-4.466944444 43.303888888)
Cahecho	Point(-4.552222222 43.160555555)
Calabazas	Point(-4.767222222 41.336944444)
Calahonda	Point(-3.416111111 36.700833333)
Calar de la Santa	Point(-2.170875179 38.179244452)
Caldas	Point(-4.596944444 43.252222222)
Caleta-La Guardia	Point(-3.601666666 36.745833333)
Caleta de Vélez	Point(-4.05 36.73333333)
Calga	Point(-4.02003056 43.20038333)
Calgar	Point(-3.733333333 43.35)
Callecedo	Point(-4.419722222 43.109166666)
Calseca	Point(-3.690555555 43.245555555)
Camasobres	Point(-4.491944444 43.012777777)
Cambarco	Point(-4.561111111 43.150833333)
Camesa	Point(-4.165555555 42.897222222)
Camesa de Valdivia	Point(-4.235833333 42.783888888)
Camijanes	Point(-4.482777777 43.328055555)
Caminayo	Point(-4.920555555 42.875833333)
Camino	Point(-4.17 43.344166666)
Camp de Mar	Point(2.42228 39.5388)
Campares	Point(-0.457163 42.4772)
Campares	Point(-0.44388889 42.48694444)
Campillo de Salvatierra	Point(-5.677777777 40.570555555)
Campillo de las Doblas	Point(-1.828927 38.763464)
Campino	Point(-3.805216666 42.896969444)
Camplengo	Point(-4.0925 43.394444444)
Campo Cámara	Point(-2.861944444 37.736111111)
Campo de Cuéllar	Point(-4.366944444 41.310833333)
Campo la Lomba	Point(-5.988772222 42.764675)
Campohermoso	Point(-2.13365 36.93575)
Campollo	Point(-4.653611111 43.121111111)
Campuzano	Point(-4.060555555 43.339444444)
Canal de San Clemente	Point(-2.641111111 37.891944444)
Canaleja	Point(-5.518888888 42.661388888)
Canales-La Magdalena	Point(-5.8037 42.783622222)
Candolías	Point(-3.798888888 43.159166666)
Cantejeira	Point(-6.895555555 42.706388888)
Canteras	Point(-1.04379227 37.61223451)
Caparacena	Point(-3.713888888 37.265)
Caranceja	Point(-4.166944444 43.336388888)
Carande	Point(-5.018055555 42.946944444)
Carandía	Point(-3.973611111 43.337222222)
Carantoña	Point(-8.863611111 42.743333333)
Carasa	Point(-3.459722222 43.371944444)
Carazón	Point(-3.320277777 43.335555555)
Carbajal de Valderaduey	Point(-4.964166666 42.541944444)
Carbajal de la Legua	Point(-5.607777777 42.658055555)
Carbajalinos	Point(-6.50128 42.1305)
Carbajosa	Point(-5.472222222 42.636944444)
Carbonera	Point(-2.179722222 42.283055555)
Carchelejo	Point(-3.640277777 37.637222222)
Cardaño de Abajo	Point(-4.763888888 42.920833333)
Cardaño de Arriba	Point(-4.75 42.97)
Carneros	Point(-6.047777777 42.475833333)
Carpio Medianero	Point(-5.334166666 40.668611111)
Carramaiza	Point(-2.83333333 37.63333333)
Carrascal	Point(-5.80999444 41.483875)
Carrascal de San Miguel	Point(-3.916111111 43.091944444)
Carrascosa del Campo	Point(-2.7451844 40.0359443)
Carrejo	Point(-4.235833333 43.294166666)
Carriazo	Point(-3.67 43.454444444)
Cas Capitá	Point(2.708611111 39.606111111)
Casa Abad	Point(-2.506111111 37.546944444)
Casa del Monte	Point(-3.786388888 43.341944444)
Casamaría	Point(-4.510833333 43.318055555)
Casanova	Point(-3.448161111 41.684827777)
Casanueva	Point(-3.788888888 37.256388888)
Casar de Periedo	Point(-4.176388888 43.336944444)
Casares Costa	Point(-5.211388888 36.381666666)
Casarones	Point(-3.3075 36.739722222)
Casas Blancas	Point(-2.840555555 42.484722222)
Casas de Juan Gil	Point(-1.2425 39.126944444)
Casas de Sebastián Pérez	Point(-5.355941666 40.470613888)
Casavegas	Point(-4.513055555 43.021944444)
Cascajares	Point(-3.497552777 41.390305555)
Cascón de la Nava	Point(-4.643888888 42.056666666)
Caserío de San José	Point(-3.889444444 41.506388888)
Casillas de Chicapierna	Point(-5.335663888 40.548238888)
Castanedo	Point(-3.698888888 43.447777777)
Castañar de Béjar	Point(-5.761944444 40.378611111)
Castañuelos	Point(-6.580869867 37.936746832)
Castellanos	Point(-6.61333889 42.07315833)
Castil de Carrias	Point(-3.270277777 42.468055555)
Castil de campos	Point(-4.1433717 37.4911625)
Castillejo de Azaba	Point(-6.703333333 40.454722222)
Castillejo de Dos Casas	Point(-6.771111111 40.698055555)
Castillo Pedroso	Point(-3.969722222 43.216111111)
Poblado de Sancti Petri	Point(-6.20777778 36.39555556)
Llatazos	Point(-3.364444444 43.3925)
Quintana Martín Galíndez	Point(-3.270277777 42.792777777)
Alberche del Caudillo	Point(-4.93047778 39.91065833)
San Zadornil	Point(-3.15638889 42.84277778)
Coso	Point(-6.700277777 42.068333333)
Santovenia del Monte	Point(-5.479722222 42.657222222)
El Bujeo	Point(-5.520833333 36.070833333)
Taracena	Point(-3.126944444 40.653888888)
Pomaluengo	Point(-3.928333333 43.309722222)
Benamahoma	Point(-5.465833333 36.764444444)
Viñaspre	Point(-2.49722222 42.57694444)
Benzú	Point(-5.373055555 35.916111111)
Berzosa de los Hidalgos	Point(-4.45 42.672222222)
Paúles del Agua	Point(-3.850833333 42.009444444)
Botaya	Point(-0.652027777 42.49275)
Cueva del Agua	Point(-3.467777777 37.387222222)
Cojáyar	Point(-3.097777777 36.9075)
Penella	Point(-0.4175 38.700277777)
Santa Olaja de la Ribera	Point(-5.552777777 42.559444444)
Arro	Point(0.223607 42.4074)
Pallares	Point(-6.151666666 38.111388888)
Bustablado	Point(-4.209722222 43.335555555)
Rada	Point(-3.490833333 43.367777777)
Los Olmillos	Point(-4.511121 41.968485)
Cilleruelo de Bezana	Point(-3.84995 42.973632)
Tímar	Point(-3.211388888 36.944166666)
Orós Alto	Point(-0.31416667 42.60666667)
Orós Alto	Point(-0.31666667 42.61666667)
Buerba	Point(0.049427833 42.537618833)
Burutáin	Point(-1.605833333 42.926388888)
Caranca	Point(-3.07472222 42.86694444)
Cerler	Point(0.539167 42.594721833)
Collado de Lepoeder	Point(-1.29541 43.0262)
Eguileor	Point(-2.38888889 42.82027778)
Egozcue	Point(-1.5775 42.9625)
Gazólaz	Point(-1.71775 42.79133)
El Jau	Point(-3.740833333 37.196111111)
El Torviscal	Point(-5.756388888 39.072222222)
Escanzana	Point(-2.8457 42.6934)
Esáin	Point(-1.575833333 42.930555555)
Echarren	Point(-1.85722222 42.91388889)
Eulz	Point(-2.075277777 42.696944444)
Facinas	Point(-5.698888888 36.140555555)
Gaínza	Point(-2.009444444 43.020833333)
Galdeano	Point(-2.0925 42.724722222)
Gargáligas	Point(-5.652222222 39.053055555)
Gibralgalia	Point(-4.765833333 36.751388888)
Los Guadalperales	Point(-5.625555555 39.084166666)
Gurendes	Point(-3.11833333 42.8475)
Guzmán	Point(-3.996666666 41.756666666)
Pido	Point(-4.791944444 43.128055555)
Ibisate	Point(-2.4117 42.767)
Ichaso	Point(-1.821388888 42.991944444)
Puerto de Mazarrón	Point(-1.264527777 37.565305555)
Jorox	Point(-4.888333333 36.734444444)
Catadiano	Point(-2.88888889 42.91083333)
La Cala del Moral	Point(-4.28333333 36.71666667)
Lacorzana	Point(-2.83610278 42.63484167)
Lacorzanilla	Point(-2.88499 42.67847)
Larrión	Point(-2.076111111 42.708888888)
Laserna	Point(-2.50694444 42.49972222)
Leazcue	Point(-1.596666666 42.949444444)
Leorza	Point(-2.4429 42.7482)
Sampil	Point(-6.61471667 42.07880833)
El Rocío	Point(-6.48251389 37.13187778)
Maro	Point(-3.843076 36.757898)
Palomares de Béjar	Point(-5.736666666 40.389722222)
Mioma	Point(-3.11277778 42.89111111)
Moarves de Ojeda	Point(-4.410555555 42.703611111)
Morgade	Point(-7.5211823 42.7822007)
Portosín	Point(-8.949238888 42.756422222)
Muneta	Point(-2.098888888 42.713611111)
Musitu	Point(-2.4225 42.77777778)
Pedro Barba	Point(-13.48 29.261388888)
Allué	Point(-0.31208333 42.48430556)
Calabor	Point(-6.71715833 41.95597778)
Clamosa	Point(0.24249444 42.264225)
Nanclares de Gamboa	Point(-2.57611111 42.92138889)
Herbosa	Point(-3.901012 42.974982)
Ollerías	Point(-2.6763763 42.9904072)
Opacua	Point(-2.3594 42.827733)
Oscoz	Point(-1.779722222 42.958055555)
Palazuelo	Point(-5.74 39.110555555)
Peñalba de Santiago	Point(-6.540555555 42.426944444)
Pieros	Point(-6.74891 42.606642)
San Martín de Elines	Point(-3.867777777 42.828333333)
Lamiaco	Point(-3.00275 43.319972222)
Puebla de Alcollarín	Point(-5.788333333 39.110277777)
Quejo	Point(-3.13888889 42.8325)
Ribas de la Valduerna	Point(-5.953055555 42.306388888)
San Mamed	Point(-6.47133 41.6914)
Salinas de Añana	Point(-2.9825 42.80222222)
San Juan de Ortega	Point(-3.436388888 42.374444444)
San Medel	Point(-3.59725 42.3322)
Castillo Siete Villas	Point(-3.550555555 43.4575)
Castillo de Alba	Point(-6.06474 41.6597)
Castillo de Baños de Abajo	Point(-3.299166666 36.740555555)
Castillo de Baños de Arriba	Point(-3.303888888 36.742777777)
Castillo de Lerés	Point(-0.41208 42.422569)
Castilseco	Point(-2.959444444 42.610277777)
Castiltierra	Point(-3.532497222 41.385652777)
Castrecías	Point(-4.2025 42.708888888)
Castrillejo de la Olma	Point(-4.621388888 42.248333333)
Castrillino	Point(-5.511111111 42.654166666)
Castrillo Solarana	Point(-3.668055555 41.980555555)
Castrillo de Bezana	Point(-3.795962 42.995106)
Castrillo de Rucios	Point(-3.7225 42.538611111)
Castrillo de San Pelayo	Point(-5.869444444 42.428055555)
Castrillo de Valderaduey	Point(-4.957777777 42.579444444)
Castrillo de la Ribera	Point(-5.546111111 42.548055555)
Castrillo del Condado	Point(-5.387441666 42.608127777)
Castrillo del Haya	Point(-4.174444444 42.912222222)
Castro-Cillorigo	Point(-4.601388888 43.1975)
Castro del Condado	Point(-5.391238888 42.693019444)
Castroañe	Point(-5.044166666 42.548611111)
Castroceniza	Point(-3.536263888 42.000347222)
Castrofuerte	Point(-5.533888888 42.209722222)
Castrohinojo	Point(-6.571841666 42.283705555)
Caudé	Point(-1.193333333 40.410277777)
Cauro	Point(-3.735555555 37.408333333)
Cazpurrión	Point(-3.9025 43.12)
Cañada Morteros	Point(-2.936111111 37.644722222)
Cañada de la Cruz	Point(-2.280555555 38.030833333)
Cañadas	Point(-2.824444444 37.800555555)
Cañadas	Point(-6.61666667 40.05)
Cañadas de Cañepla	Point(-2.28587 37.79639)
Cañeda	Point(-4.11884 43.0182)
Cañedo	Point(-3.574166666 43.181111111)
Cañizar de Amaya	Point(-4.225277777 42.585)
Cañizar de Argaño	Point(-3.945058333 42.404572222)
Cebas	Point(-2.836388888 37.790277777)
Ceide y Orrios	Point(-5.944052777 42.786172222)
Celada de Roblecedo	Point(-4.431666666 42.945277777)
Celada de la Torre	Point(-3.638888888 42.428333333)
Celada de los Calderones	Point(-4.254225 43.013075)
Celadilla-Sotobrín	Point(-3.725555555 42.456388888)
Celadilla del Río	Point(-4.795555555 42.608055555)
Celis	Point(-4.434625 43.28276389)
Celis	Point(-4.433333333 43.283888888)
Celucos	Point(-4.431388888 43.275555555)
Cembrero	Point(-4.435833333 42.561388888)
Cementos Hontoria	Point(-4.466944444 41.941666666)
Cerbiago	Point(-3.406666666 43.348333333)
Cerdillo	Point(-6.65762222 42.13928333)
Cerecedas	Point(-3.494722222 43.455277777)
Cerecedo	Point(-5.305644444 42.886963888)
Cerezal de Sanabria	Point(-6.44255 42.0639)
Cerezales del Condado	Point(-5.358163888 42.712602777)
Cerezo de Mohernando	Point(-3.123888888 40.875)
Cerrazo	Point(-4.123888888 43.366388888)
Cerro Muriano	Point(-4.770277777 38.003333333)
Cerro Perea	Point(-4.98365278 37.58936111)
Cerulleda	Point(-5.425633333 42.999588888)
Cervatos	Point(-4.146666666 42.955555555)
Cespedosa de Agadones	Point(-6.503055555 40.429722222)
Cezura	Point(-4.173055555 42.813333333)
Chaherrero	Point(-4.96243 40.8501)
Chana de Somoza	Point(-6.343333333 42.396666666)
Charches	Point(-2.956944444 37.294166666)
Charcón Higuera	Point(-2.598055555 37.550555555)
Charcón Nicolases	Point(-2.60305556 37.54777778)
Chatún	Point(-4.346111111 41.291666666)
Chilches	Point(-4.224722222 36.725833333)
Chite	Point(-3.555555555 36.938333333)
Chércoles	Point(-2.3 41.371111111)
Cicera	Point(-4.548888888 43.236388888)
Cifuentes de Rueda	Point(-5.256894444 42.607519444)
Cigüenza	Point(-4.168333333 43.370277777)
Cilanco	Point(-1.305833333 39.336388888)
Cillamayor	Point(-4.278333333 42.863055555)
Cilloruelo	Point(-5.467222222 40.906666666)
Cional	Point(-6.33776667 41.95831667)
Cires	Point(-4.498611111 43.243055555)
Ciriñuela	Point(-2.892777777 42.421666666)
Ciruelos de Coca	Point(-4.5814 41.2247)
Cirujeda	Point(-0.681324 40.745989)
Ciudad Jardín Virgen del Milagro	Point(-4.520833333 41.953333333)
Cobejo	Point(-4.062197222 43.126997222)
Cobos de Segovia	Point(-4.438333333 40.922222222)
Cobos junto a la Molina	Point(-3.608333333 42.533888888)
Coculina	Point(-3.883333333 42.566666666)
Codes	Point(-2.129166666 41.081944444)
Codornillos	Point(-5.053733333 42.402188888)
Cofiñal	Point(-5.266666666 43.033333333)
Cojóbar	Point(-3.668252777 42.246422222)
Colio	Point(-4.631111111 43.194166666)
Collado de Cieza	Point(-4.096666666 43.239722222)
Colmenares de Ojeda	Point(-4.521388888 42.795)
Colonia Militar Infantil General Varela	Point(-4.203333333 42.100277777)
Colonia de Santa Ana	Point(-4.722777777 37.063055555)
Compostilla	Point(-6.601355555 42.562769444)
Duratón	Point(-3.67975 41.28462)
El Pardal	Point(-2.26666667 38.48333333)
El Portil	Point(-7.0496953 37.211022)
Soo	Point(-13.62083333 29.09861111)
Cabria	Point(-4.222630555 42.806608333)
Correpoco	Point(-4.274166666 43.168888888)
Ochando	Point(-4.435555555 41.051111111)
El Bujeo	Point(-4.143333333 37.1725)
San Marcial	Point(-5.78103 41.3982)
El Albujón	Point(-1.0475099 37.71683603)
Aizcorbe	Point(-1.809722222 42.914166666)
Villafañe	Point(-5.427222222 42.5525)
Venta Micena	Point(-2.389444444 37.7325)
Marlofa	Point(-1.06846 41.73969)
Cuzcurritilla	Point(-2.847777777 42.544444444)
San Pedro de Paradela	Point(-6.618188888 42.812908333)
Navalsaz	Point(-2.208333333 42.121944444)
Barcenilla de Pisuerga	Point(-4.411944444 42.848055555)
Parque de las Castillas	Point(-3.37139 40.69)
Maoño	Point(-3.913888888 43.418055555)
Cerdigo	Point(-3.265 43.399722222)
Asón	Point(-3.602222222 43.228611111)
Piedrasluengas	Point(-4.4575 43.036666666)
Resconorio	Point(-3.864444444 43.073055555)
